Year,NUCLEAR,HYDRO,GAS ,BIOFUEL,SOLAR 3,WIND,Total MWh,as of month end
2015,8489.15,1846.24,3567.44,950.34,1.15,34.06,14888.40,January
2015,7731.11,2385.53,3020.66,768.91,1.49,29.38,13937.10,February
2015,8749.34,1066.95,3063.28,811.73,15.17,41.95,13748.40,March
2015,7451.97,752.23,2945.79,852.20,22.33,27.66,12052.20,April
2015,7433.69,757.49,3336.00,628.54,26.53,38.07,12220.30,May
2015,7644.80,945.00,3154.32,500.39,26.38,39.24,12310.10,June
2015,8343.58,1498.25,3055.85,395.80,30.47,46.91,13370.90,July
2015,8440.35,1275.89,2805.69,459.28,28.87,40.36,13050.40,August
2015,6519.71,1855.63,2696.06,574.06,33.12,34.27,11712.90,September
2015,5794.57,2631.42,1508.81,25.03,31.63,1083.58,11075.04,October 
2015,7808.96,2855.00,700.29,42.52,26.17,907.57,12340.50,November
2015,7848.60,3229.92,773.82,46.35,11.09,977.07,12886.85,December
2016,8459.11,3412.83,1079.04,37.45,14.38,1142.69,14145.50,January
2016,7849.61,3226.38,866.17,38.99,19.12,873.90,12874.17,February
2016,7918.91,3250.77,751.00,48.49,36.36,605.04,12610.56,March
2016,6911.26,3197.30,666.85,34.77,46.76,577.99,11434.93,April
2016,6092.72,3388.71,1018.74,45.24,57.94,603.74,11207.10,May
2016,7322.47,3085.51,1020.51,28.11,59.04,584.95,12100.59,June 
2016,8244.42,2801.12,1577.12,44.37,56.01,524.08,13247.11,July
2016,8082.70,2708.50,2121.96,61.00,54.71,504.42,13533.30,August
2016,7695.77,2582.92,1091.33,38.74,47.02,568.42,12024.18,September
2016,7719.73,2607.57,744.37,49.62,33.82,750.77,11905.88,October 
2016,7525.33,2566.48,904.63,34.74,28.75,955.57,12015.51,November
2016,7879.69,2891.90,918.38,29.92,12.49,1450.40,13182.78,December
2017,8387.85,554.10,3231.18,1045.20,17.66,35.26,13271.30,January
2017,6809.36,415.71,3008.55,1232.15,31.87,28.74,11526.40,February
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,5794572.00,2631422.00,1508809.00,25025.00,31634.00,1083575.00,11075037.00,
,7808958.00,2854997.00,700293.00,42518.00,26170.00,907568.00,12340504.00,
,7848598.00,3229923.00,773820.00,46352.00,11087.00,977068.00,12886848.00,
,8459108.00,3412833.00,1079037.00,37450.00,14383.00,1142686.00,14145497.00,
,7849611.00,3226382.00,866174.00,38985.00,19119.00,873899.00,12874170.00,
,7918906.00,3250771.00,750995.00,48494.00,36357.00,605038.00,12610561.00,
,6911261.00,3197302.00,666851.00,34765.00,46759.00,577990.00,11434928.00,
,6092718.00,3388711.00,1018744.00,45242.00,57942.00,603741.00,11207098.00,
,7322468.00,3085511.00,1020508.00,28106.00,59044.00,584951.00,12100588.00,
,8244424.00,2801116.00,1577118.00,44366.00,56011.00,524078.00,13247113.00,
,8082703.00,2708502.00,2121960.00,61002.00,54713.00,504417.00,13533297.00,
,7695765.00,2582915.00,1091328.00,38736.00,47024.00,568415.00,12024183.00,
,7719728.00,2607566.00,744371.00,49622.00,33819.00,750772.00,11905878.00,
,7525333.00,2566478.00,904630.00,34744.00,28747.00,955574.00,12015506.00,
,7879691.00,2891903.00,918382.00,29920.00,12486.00,1450399.00,13182781.00,
